segment,baseline_volume,segment_total,chinese_allocated,non_chinese_volume,segment_elasticity,baseline_canadian_price,chinese_weighted_price,growth,growth_pct
Budget (<$40k),45000.0,51482.289729216565,12676.533011722644,38805.75671749392,0.13,42000,37500.0,6482.289729216565,14.405088287147924
Mid-range ($40-55k),108000.0,127042.76048427714,29246.451143209797,97796.30934106735,0.115,47000,40340.5,19042.76048427714,17.632185633589945
Premium (>$55k),27000.0,32219.647896851766,7077.015845067559,25142.632051784207,0.08,65000,54000.0,5219.647896851766,19.332029247599134
